,entryflow,exitflow,transferflow,weekday,daytype,timeid,hour,dayid
631,2095,1666,1385,6,0,48,17,8
632,2587,1786,1526,6,0,49,17,8
633,1903,1608,1482,6,0,50,18,8
634,2424,1786,1628,6,0,51,18,8
635,2325,1618,1576,6,0,52,18,8
636,2348,1589,1646,6,0,53,18,8
637,1913,1559,1496,6,0,54,19,8
638,2208,1509,1022,6,0,55,19,8
639,2539,1219,1156,6,0,56,19,8
640,2455,1029,1092,6,0,57,19,8
641,1411,898,979,6,0,58,20,8
642,1060,786,904,6,0,59,20,8
643,2080,743,806,6,0,60,20,8
644,3135,559,892,6,0,61,20,8
645,1995,546,829,6,0,62,21,8
646,1260,535,778,6,0,63,21,8
647,1096,386,879,6,0,64,21,8
648,1056,467,820,6,0,65,21,8
649,1521,342,750,6,0,66,22,8
650,1481,286,781,6,0,67,22,8
651,1118,208,617,6,0,68,22,8
652,455,156,504,6,0,69,22,8
653,697,159,528,6,0,70,23,8
654,252,130,196,6,0,71,23,8
655,54,67,66,6,0,72,23,8
656,33,36,24,6,0,73,23,8
657,4,0,0,7,1,1,5,9
658,14,7,0,7,1,2,6,9
659,21,6,6,7,1,3,6,9
660,20,70,94,7,1,4,6,9
661,36,481,143,7,1,5,6,9
662,53,904,216,7,1,6,7,9
663,94,1128,387,7,1,7,7,9
664,158,1370,414,7,1,8,7,9
665,137,1698,579,7,1,9,7,9
666,443,1477,985,7,1,10,8,9
667,674,1511,877,7,1,11,8,9
668,559,1591,1292,7,1,12,8,9
669,410,1900,1037,7,1,13,8,9
670,643,1851,846,7,1,14,9,9
671,816,1935,993,7,1,15,9,9
672,653,1941,1007,7,1,16,9,9
673,1439,2048,1010,7,1,17,9,9
674,1146,2029,987,7,1,18,10,9
675,2144,1849,763,7,1,19,10,9
676,1659,1981,914,7,1,20,10,9
677,1804,1780,907,7,1,21,10,9
678,1003,1798,825,7,1,22,11,9
679,1551,1841,842,7,1,23,11,9
680,2257,1835,816,7,1,24,11,9
681,2099,1921,929,7,1,25,11,9
682,2749,2194,880,7,1,26,12,9
683,1467,2047,883,7,1,27,12,9
684,1189,1708,835,7,1,28,12,9
685,1403,2112,954,7,1,29,12,9
686,934,2524,956,7,1,30,13,9
687,2297,2681,1144,7,1,31,13,9
688,2177,2655,938,7,1,32,13,9
689,2217,2428,1102,7,1,33,13,9
690,1997,2621,1038,7,1,34,14,9
691,1811,2649,1206,7,1,35,14,9
692,2378,2676,1235,7,1,36,14,9
693,1029,2527,1078,7,1,37,14,9
694,2604,2921,1267,7,1,38,15,9
695,2971,2972,960,7,1,39,15,9
696,1470,2661,1175,7,1,40,15,9
697,1963,2292,1098,7,1,41,15,9
698,4207,2286,1214,7,1,42,16,9
699,3543,2527,1214,7,1,43,16,9
700,3342,2927,1327,7,1,44,16,9
